,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Group_enc,GroupSize,Name,FamilySize,HomePlanet,Destination,VIP,Cabin,CryoSleep,Deck,Side,Deck_enc,Route,Europa,Mars,PSO J318.5-22,TRAPPIST-1e,S
0,39.0,0.0,0.0,0.0,0.0,0.0,0,0001,0.5035950532067874,1,Ofracculy0001,1,Europa,TRAPPIST-1e,0,B/0/P,0,B,P,1,EuropaTRAPPIST-1e,1,0,0,1,0
1,24.0,109.0,9.0,25.0,549.0,44.0,1,0002,0.5035950532067874,1,Vines0002,1,Earth,TRAPPIST-1e,0,F/0/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
2,58.0,43.0,3576.0,0.0,6715.0,49.0,0,0003,0.4444115532625703,2,Susent0003,2,Europa,TRAPPIST-1e,1,A/0/S,0,A,S,0,EuropaTRAPPIST-1e,1,0,0,1,1
3,33.0,0.0,1283.0,371.0,3329.0,193.0,0,0003,0.4443485763589301,2,Susent0003,2,Europa,TRAPPIST-1e,0,A/0/S,0,A,S,0,EuropaTRAPPIST-1e,1,0,0,1,1
4,16.0,303.0,70.0,151.0,565.0,2.0,1,0004,0.503666427030913,1,Santantines0004,1,Earth,TRAPPIST-1e,0,F/1/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
5,44.0,0.0,483.0,0.0,291.0,0.0,1,0005,0.5035950532067874,1,Hinetthews0005,1,Earth,PSO J318.5-22,0,F/0/P,0,F,P,5,EarthPSO J318.5-22,0,0,1,0,0
6,26.0,42.0,1539.0,3.0,0.0,0.0,1,0006,0.5619956351824595,2,Jacostaffey0006,2,Earth,TRAPPIST-1e,0,F/2/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
7,28.0,0.0,0.0,0.0,0.0,0.0,1,0006,0.5619956351824595,2,Jacostaffey0006,2,Earth,TRAPPIST-1e,0,G/0/S,1,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
8,35.0,0.0,785.0,17.0,216.0,0.0,1,0007,0.5035950532067874,1,Beston0007,1,Earth,TRAPPIST-1e,0,F/3/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
9,14.0,0.0,0.0,0.0,0.0,0.0,1,0008,0.6081577055507208,3,Flatic0008,3,Europa,55 Cancri e,0,B/1/P,1,B,P,1,Europa55 Cancri e,1,0,0,0,0
10,34.0,0.0,0.0,0.0,0.0,0.0,1,0008,0.6081013577948322,3,Flatic0008,3,Europa,TRAPPIST-1e,0,B/1/P,1,B,P,1,EuropaTRAPPIST-1e,1,0,0,1,0
11,45.0,39.0,7295.0,589.0,110.0,124.0,1,0008,0.6081013577948322,3,Flatic0008,3,Europa,55 Cancri e,0,B/1/P,0,B,P,1,Europa55 Cancri e,1,0,0,0,0
12,32.0,73.0,0.0,1123.0,0.0,113.0,1,0009,0.5035950532067874,1,Barne0009,1,Mars,TRAPPIST-1e,0,F/1/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
13,48.0,719.0,1.0,65.0,0.0,24.0,0,0010,0.5035950532067874,1,Baketton0010,1,Earth,TRAPPIST-1e,0,G/1/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
14,28.0,8.0,974.0,12.0,2.0,7.0,1,0011,0.5035950532067874,1,Bertsontry0011,1,Earth,TRAPPIST-1e,0,F/2/P,0,F,P,5,EarthTRAPPIST-1e,0,0,0,1,0
15,31.0,32.0,0.0,876.0,0.0,0.0,0,0012,0.5035950532067874,1,Pooles0012,1,Earth,TRAPPIST-1e,0,G/734/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
16,27.0,1286.0,122.0,0.0,0.0,0.0,0,0014,0.5035950532067874,1,Eccle0014,1,Mars,55 Cancri e,0,F/3/P,0,F,P,5,Mars55 Cancri e,0,1,0,0,0
17,24.0,0.0,1.0,0.0,0.0,637.0,0,0015,0.5035950532067874,1,Hughriend0015,1,Earth,55 Cancri e,0,F/4/P,0,F,P,5,Earth55 Cancri e,0,0,0,0,0
18,45.0,0.0,0.0,0.0,0.0,0.0,1,0016,0.503666427030913,1,Upead0016,1,Mars,TRAPPIST-1e,0,F/5/P,1,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
19,0.0,0.0,0.0,0.0,0.0,0.0,1,0017,0.4443485763589301,2,Brighttt0017,2,Earth,TRAPPIST-1e,0,G/0/P,0,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
20,14.0,412.0,0.0,1.0,0.0,679.0,0,0017,0.5620586120860998,2,Brighttt0017,2,Earth,55 Cancri e,0,F/6/P,0,F,P,5,Earth55 Cancri e,0,0,0,0,0
21,1.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6,Brantuarez0020,3,Earth,TRAPPIST-1e,0,E/0/S,1,E,S,4,EarthTRAPPIST-1e,0,0,0,1,1
22,49.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6,Brantuarez0020,3,Earth,55 Cancri e,0,E/0/S,1,E,S,4,Earth55 Cancri e,0,0,0,0,1
23,29.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6,Mcfaddennon0020,2,Earth,55 Cancri e,0,E/0/S,1,E,S,4,Earth55 Cancri e,0,0,0,0,1
24,10.0,0.0,0.0,0.0,0.0,0.0,1,0020,0.30219985621854784,6,Jacostanley0020,1,Earth,TRAPPIST-1e,0,E/0/S,0,E,S,4,EarthTRAPPIST-1e,0,0,0,1,1
25,1.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.38215703192407247,6,Brantuarez0020,3,Earth,PSO J318.5-22,0,E/0/S,1,E,S,4,EarthPSO J318.5-22,0,0,1,0,1
26,7.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6,Mcfaddennon0020,2,Earth,TRAPPIST-1e,0,E/0/S,0,E,S,4,EarthTRAPPIST-1e,0,0,0,1,1
27,21.0,980.0,2.0,69.0,0.0,0.0,0,0022,0.5035950532067874,1,0022,1,Mars,TRAPPIST-1e,0,D/0/P,0,D,P,3,MarsTRAPPIST-1e,0,1,0,1,0
28,62.0,0.0,0.0,0.0,0.0,0.0,1,0024,0.503666427030913,1,Fullided0024,1,Europa,TRAPPIST-1e,0,C/2/S,1,C,S,2,EuropaTRAPPIST-1e,1,0,0,1,1
29,15.0,0.0,225.0,0.0,998.0,0.0,0,0025,0.5035950532067874,1,Brookenson0025,1,Earth,TRAPPIST-1e,0,F/6/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
30,34.0,22.0,6073.0,0.0,1438.0,328.0,0,0026,0.503666427030913,1,Unconary0026,1,Europa,55 Cancri e,0,C/0/P,0,C,P,2,Europa55 Cancri e,1,0,0,0,0
31,43.0,1125.0,0.0,136.0,48.0,0.0,0,0028,0.503666427030913,1,Mare0028,1,Mars,TRAPPIST-1e,0,F/8/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
32,32.0,0.0,850.0,81.0,437.0,453.0,0,0030,0.5035950532067874,1,Morsentley0030,1,Earth,TRAPPIST-1e,0,G/4/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
33,47.0,214.0,0.0,1411.0,0.0,1229.0,1,0031,0.6081577055507208,3,Datie0031,3,Mars,TRAPPIST-1e,0,F/9/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
34,2.0,0.0,0.0,0.0,0.0,0.0,1,0031,0.6081013577948322,3,Datie0031,3,Mars,TRAPPIST-1e,0,F/9/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
35,20.0,0.0,0.0,1750.0,990.0,0.0,1,0031,0.6081013577948322,3,Datie0031,3,Mars,TRAPPIST-1e,0,F/9/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
36,28.0,0.0,0.0,0.0,0.0,0.0,1,0034,0.503666427030913,1,Oingwhedly0034,1,Europa,55 Cancri e,0,D/1/S,1,D,S,3,Europa55 Cancri e,1,0,0,0,1
37,23.0,784.0,964.0,0.0,951.0,0.0,0,0035,0.503666427030913,1,Butte0035,1,Mars,55 Cancri e,0,D/1/P,0,D,P,3,Mars55 Cancri e,0,1,0,0,0
38,15.0,0.0,492.0,48.0,20.0,401.0,0,0036,0.5035950532067874,1,Leodger0036,1,Earth,55 Cancri e,0,F/8/S,0,F,S,5,Earth55 Cancri e,0,0,0,0,1
39,20.0,554.0,195.0,0.0,2606.0,0.0,0,0038,0.503666427030913,1,Wheelez0038,1,Earth,55 Cancri e,0,F/10/S,0,F,S,5,Earth55 Cancri e,0,0,0,0,1
40,30.0,0.0,0.0,0.0,0.0,0.0,0,0039,0.503666427030913,1,Batthewitt0039,1,Earth,55 Cancri e,0,G/1/P,1,G,P,6,Earth55 Cancri e,0,0,0,0,0
41,17.0,0.0,0.0,0.0,0.0,0.0,1,0041,0.5035950532067874,1,Moodsey0041,1,Earth,TRAPPIST-1e,0,G/2/P,1,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
42,45.0,0.0,164.0,45.0,2511.0,855.0,0,0043,0.503666427030913,1,Cylistrand0043,1,Europa,TRAPPIST-1e,0,B/3/P,0,B,P,1,EuropaTRAPPIST-1e,1,0,0,1,0
43,55.0,0.0,0.0,0.0,0.0,0.0,0,0044,0.6081013577948322,3,Coopelandez0044,3,Earth,TRAPPIST-1e,0,G/3/P,1,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
44,4.0,0.0,0.0,0.0,0.0,0.0,1,0044,0.5028381999000954,3,Coopelandez0044,3,Earth,55 Cancri e,0,G/3/P,1,G,P,6,Earth55 Cancri e,0,0,0,0,0
45,21.0,0.0,0.0,0.0,0.0,0.0,1,0044,0.502894547655984,3,Coopelandez0044,3,Earth,PSO J318.5-22,0,G/3/P,1,G,P,6,EarthPSO J318.5-22,0,0,1,0,0
46,21.0,970.0,0.0,180.0,0.0,64.0,0,0045,0.5620586120860998,2,Chmad0045,2,Mars,TRAPPIST-1e,0,F/10/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
47,19.0,0.0,0.0,0.0,0.0,0.0,1,0045,0.4443485763589301,2,Chmad0045,2,Mars,TRAPPIST-1e,0,F/10/P,1,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
48,35.0,790.0,0.0,0.0,0.0,0.0,0,0050,0.5035950532067874,1,Lancis0050,1,Earth,55 Cancri e,0,E/1/S,0,E,S,4,Earth55 Cancri e,0,0,0,0,1
49,56.0,0.0,112.0,0.0,1379.0,127.0,0,0051,0.503666427030913,1,Johnshines0051,1,Earth,TRAPPIST-1e,0,E/2/S,0,E,S,4,EarthTRAPPIST-1e,0,0,0,1,1
50,0.0,4.0,0.0,2.0,4683.0,0.0,0,0052,0.5035950532067874,1,Hubbarton0052,1,Earth,TRAPPIST-1e,0,G/6/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
51,25.0,0.0,0.0,1938.0,0.0,1.0,1,0053,0.5035950532067874,1,Hickerson0053,1,Earth,TRAPPIST-1e,0,F/11/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
52,2.0,0.0,0.0,0.0,0.0,0.0,1,0056,0.6081013577948322,3,Tractive0056,3,Europa,TRAPPIST-1e,0,A/1/S,0,A,S,0,EuropaTRAPPIST-1e,1,0,0,1,1
53,38.0,0.0,0.0,0.0,0.0,0.0,1,0056,0.6081013577948322,3,Tractive0056,3,Europa,TRAPPIST-1e,0,A/1/S,1,A,S,0,EuropaTRAPPIST-1e,1,0,0,1,1
54,27.0,279.0,605.0,3374.0,286.0,3.0,1,0056,0.6081013577948322,3,Tractive0056,3,Europa,TRAPPIST-1e,0,A/1/S,0,A,S,0,EuropaTRAPPIST-1e,1,0,0,1,1
55,36.0,0.0,0.0,0.0,0.0,0.0,0,0058,0.503666427030913,1,Ayalazquez0058,1,Earth,PSO J318.5-22,0,G/7/S,1,G,S,6,EarthPSO J318.5-22,0,0,1,0,1
56,22.0,45.0,1096.0,148.0,1377.0,1.0,0,0061,0.5035950532067874,1,Salez0061,1,Earth,TRAPPIST-1e,0,F/12/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
57,62.0,0.0,592.0,0.0,17.0,25.0,0,0062,0.5035950532067874,1,Greeves0062,1,Earth,TRAPPIST-1e,0,F/13/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
58,15.0,0.0,0.0,0.0,0.0,0.0,1,0064,0.5619956351824595,2,Keen0064,2,Mars,TRAPPIST-1e,0,F/14/S,1,F,S,5,MarsTRAPPIST-1e,0,1,0,1,1
59,33.0,0.0,0.0,0.0,0.0,0.0,1,0064,0.5619956351824595,2,Keen0064,2,Mars,TRAPPIST-1e,0,E/3/S,1,E,S,4,MarsTRAPPIST-1e,0,1,0,1,1
60,62.0,1.0,153.0,197.0,0.0,460.0,0,0066,0.503666427030913,1,Pecketton0066,1,Earth,TRAPPIST-1e,0,G/6/P,0,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
61,0.0,0.0,0.0,0.0,0.0,0.0,1,0067,0.5028381999000954,3,Leeves0067,3,Earth,PSO J318.5-22,0,G/10/S,1,G,S,6,EarthPSO J318.5-22,0,0,1,0,1
62,18.0,1.0,258.0,446.0,0.0,0.0,1,0067,0.502894547655984,3,Leeves0067,3,Earth,TRAPPIST-1e,0,G/10/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
63,21.0,1946.0,37.0,0.0,0.0,24.0,0,0067,0.6081577055507208,3,Leeves0067,3,Earth,55 Cancri e,0,F/15/S,0,F,S,5,Earth55 Cancri e,0,0,0,0,1
